Brand;Brand-href;car_details;car_details-href;car_name;start_price;variant;color
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz SLC;https://www.carwale.com/mercedesbenz-cars/slc/;Mercedes-Benz SLC;? 82.51 Lakhs;"[{'variant':'43 AMG'}]";"[{'color':'Polar White'},{'color':'Obsidian Black'},{'color':'Brilliant Blue'},{'color':'Designo Hyacinth Red Metallic'}]"
Honda;https://www.carwale.com/honda-cars/;Honda Accord;https://www.carwale.com/honda-cars/accord/;Honda Accord;? 40.87 Lakhs;"[{'variant':'Honda Accord Hybrid'}]";"[{'color':'White Orchid Pearl'},{'color':'Crystal Black Pearl'},{'color':'Modern Steel Metallic'},{'color':'Lunar Silver Metallic'}]"
Maserati;https://www.carwale.com/maserati-cars/;Maserati Ghibli;https://www.carwale.com/maserati-cars/ghibli/;Maserati Ghibli;? 1.16 Crores;"[{'variant':'Diesel'}]";"[{'color':'Nero'},{'color':'Bianco'},{'color':'Grigio'},{'color':'Grigio Metallo'},{'color':'Bronzo Siena'},{'color':'Champagen'},{'color':'Grigio Maratea'}]"
Porsche;https://www.carwale.com/porsche-cars/;Porsche 911;https://www.carwale.com/porsche-cars/911/;Porsche 911;? 1.39 Crores;"[{'variant':'Carrera'},{'variant':'Carrera 4'},{'variant':'Carrera Cabriolet'},{'variant':'Targa 4'},{'variant':'Carrera S'},{'variant':'Carrera 4 Cabriolet'},{'variant':'Carrera 4S'},{'variant':'Carrera S Cabriolet'},{'variant':'Targa 4S'},{'variant':'Carrera 4S Cabriolet'},{'variant':'GT3'},{'variant':'Turbo'},{'variant':'Turbo Cabriolet'},{'variant':'Turbo S'},{'variant':'Turbo S Cabriolet'}]";"[{'color':'Carrara White'},{'color':'Guards Red'},{'color':'Black'},{'color':'Speed Yellow'},{'color':'Arctic Silver'},{'color':'Cobalt Blue'},{'color':'Midnight Blue'},{'color':'Macadamia'},{'color':'Meteor Grey'},{'color':'Forest Green'},{'color':'Ruby Red'},{'color':'SlateGray'},{'color':'Gt Silver'},{'color':'Atlas Grey'},{'color':'Dark Olive'},{'color':'Malachite Green'},{'color':'Basalt Black'}]"
Volkswagen;https://www.carwale.com/volkswagen-cars/;Volkswagen Vento;https://www.carwale.com/volkswagen-cars/vento/;Volkswagen Vento;? 8.29 Lakhs;"[{'variant':'Trendline 1.6 Petrol'},{'variant':'Comfortline 1.6 Petrol'},{'variant':'Trendline 1.5 Diesel'},{'variant':'Highline 1.6 Petrol'},{'variant':'Comfortline 1.2 Petrol AT'},{'variant':'Comfortline 1.5 Diesel'},{'variant':'Highline Plus 1.6 Petrol'},{'variant':'Highline 1.2 Petrol AT'},{'variant':'Highline 1.5 Diesel'},{'variant':'Comfortline 1.5 Diesel AT'},{'variant':'Highline Plus 1.2 Petrol AT'},{'variant':'Highline Plus 1.5 Diesel'},{'variant':'Highline 1.5 Diesel AT'},{'variant':'Highline Plus 1.5 Diesel AT'}]";"[{'color':'Carbon Steel'},{'color':'Titanium Beige'},{'color':'Candy White'},{'color':'Toffee Brown'},{'color':'Blue Silk'},{'color':'Reflex Silver'}]"
Jaguar;https://www.carwale.com/jaguar-cars/;Jaguar F-Pace;https://www.carwale.com/jaguar-cars/f-pace/;Jaguar F-Pace;? 69.76 Lakhs;"[{'variant':'Pure'},{'variant':'Prestige'},{'variant':'R-SPORT'},{'variant':'First Edition'}]";"[{'color':'Polaris White'},{'color':'Ebony Black'},{'color':'Glacier White'},{'color':'Quartzite'},{'color':'Ammonite Grey'},{'color':'Dark Sapphire Blue'},{'color':'British Racing Green'},{'color':'Ultimate Black'}]"
Tata;https://www.carwale.com/tata-cars/;Tata Sumo Gold;https://www.carwale.com/tata-cars/sumo-gold/;Tata Sumo Gold;? 7.35 Lakhs;"[{'variant':'CX BS-IV'},{'variant':'CX PS BS IV'},{'variant':'EX BS-IV'},{'variant':'GX BS-IV'}]";"[{'color':'Meteor Silver'},{'color':'Blazing Red'},{'color':'Twilight Grey'},{'color':'Porcelain White'}]"
Mini;https://www.carwale.com/mini-cars/;Mini Cooper;https://www.carwale.com/mini-cars/cooper/;Mini Cooper;? 28.97 Lakhs;"[{'variant':'D 3 Door'},{'variant':'S'},{'variant':'D 5 Door'}]";"[{'color':'Midnight Black'},{'color':'Deep Blue Metallic'},{'color':'Thundder Grey Metallic'},{'color':'Blazing Red'},{'color':'Volcanic Orange'},{'color':'British Racing Green Metallic'},{'color':'Moonwalk Grey'},{'color':'Pepper White'},{'color':'White Silver Metallic'},{'color':'Electric Blue Metallic'},{'color':'Iced Chocolate Metallic'},{'color':'Chili Red'},{'color':'Lapisluxury Blue'}]"
Mini;https://www.carwale.com/mini-cars/;Mini Clubman;https://www.carwale.com/mini-cars/clubman/;Mini Clubman;? 38.47 Lakhs;"[{'variant':'Cooper S'}]";"[{'color':'Pepper White'},{'color':'Pure Burgundy'},{'color':'Melting Silver'},{'color':'Midnight Black'},{'color':'British Racing Green II'},{'color':'Moonwalk Grey'},{'color':'Blazing Red'},{'color':'Lapisluxury Blue'},{'color':'Digital Blue'}]"
Renault;https://www.carwale.com/renault-cars/;Renault Kwid;https://www.carwale.com/renault-cars/kwid/;Renault Kwid;? 2.8 Lakhs;"[{'variant':'STD'},{'variant':'RXE'},{'variant':'RXL'},{'variant':'1.0 RXL'},{'variant':'RXT'},{'variant':'RXT Opt'},{'variant':'1.0 RXL AMT'},{'variant':'1.0 RXT'},{'variant':'1.0 RXT Opt'},{'variant':'CLIMBER 1.0'},{'variant':'1.0 RXT AMT Opt'},{'variant':'CLIMBER 1.0 AMT'}]";"[{'color':'Fiery Red'},{'color':'Ice Cool White'},{'color':'Moonlight Silver'},{'color':'Outback Bronze'},{'color':'Planet Grey'}]"
