Brand ID,Brand ,model id,Model,Car Type,start_year,end_year,car color,car variant
29,Ferrari,,488,4,,,Blu Tour De France|Blu Pozi|Blu Scozia|Nero Daytona|Nero|Blue Abu Dhabi|Grigio Alloy|Vinaccia|Rosso Mugello|Grigio Medio|Grigio Silverstone|Grigio Titanio|Blu Mirabeau|Azzurro|Azzurro (Metallic)|Rosso Corsa|Rosso Suderio|Grigio Ingrid|Bianco Avus|Giallo Modena,GTB|Spider
9,Audi,,TT,4,,,Ibis white|Glacier White|Floret Silver|Mythos Black|Monsoon Grey|Scuba Blue|Nano Grey|Tango Red,45 TFSI
7,BMW,,Z4,4,,,Alpine White|Black Sapphire|Melbourne Red|Sparking Brown|Glacier Silver|Mineral Grey|Mineral White|Valencia Orange,sDrive 35i|sDrive 35i DPT
9,Audi,,RS7 Sportback,4,,,Ibis White|Nardo Grey|Suzuka Grey Metallic|Estoril Blue Crystal Effect|Panther Black|Daytona Grey Pearl Effect|Misano Red|Phantom Black|Daytona grey Matt Effect|Ascari Blue,4.0 TFSI Performance
22,Volvo,,XC60,4,,,Power Blue|Rich Java|Flemenco Red Pearl|Caspian Blue|Chrystal White Pearl|Black Metallic|Bright Silver Metallic|Passion Red Silver|Twilight Bronze Metallic|Savile Grey Pearl,Kinetic|Momentum|Inscription
22,Volvo,,S90,4,,,Magic Blue Metallic|Crystal White pearl|Black Black metallic|Mussel Blue metallic,Inscription Luxury
32,Bentley,,Continental Flying Spur,4,,,White|Porcelain White|Breeze|Citric|Silver|Burnt Oak,V8|W12
9,Audi,,R8,4,,,Vegas Yellow|Ibis White|Dynamite Red|Floret Silver|Camouflage Green|Daytona Grey|Ara Blue Crystal Effect|Suzuka Grey|Mythos Black,5.2 V10 Plus
#N/A,Maserati,,Quattroporte,4,,,Nero|Bianco|Nero Ribelle|Grigio Maratea|Grigio|Grigio Metallo|Bronzo Siena|Champagne|Blu Passione|Rosso Folgore|Bianco Alpi,Diesel|GTS
6,Ford,,Aspire,8,,,Ruby Red|Sparkling Gold|Oxford White|Absolute Black|Deep Impact Blue|Moondust Silver|Smoke Grey,Ambiente 1.2 Ti-VCT|Ambiente 1.2 Ti-VCT ABS|Trend 1.2 Ti-VCT|Titanium 1.2 Ti-VCT|Titanium 1.2 Ti-VCT Opt|Titanium 1.2 Ti-VCT Sports Edition|Ambiente 1.5 TDCi|Ambiente 1.5 TDCi ABS|Titanium Plus 1.2 Ti-VCT|Trend 1.5 TDCi|Titanium1.5 TDCi|Titanium 1.5 TDCi Opt|Titanium 1.5 TDCi Sports Edition|Titanium Plus 1.5 TDCi|Titanium 1.5 Ti-VCT AT
3,Hyundai,,Tucson,13,,,Star Dust|Pure White|Sleek Silver|Phantom Black|Wine Red,2WD MT Petrol|2WD MT Diesel|2WD AT GL Petrol|2WD AT GL Diesel|2WD AT GLS Diesel
31,Aston Martin,,V8 Vantage,4,,,China Grey|Stratus White|Silver Blonde|Mariana Blue|Appletree Green|Selene Bronze|Onyx Black|Tungsten Silver|Marron Black|Madagascar Orange|Mako Blue|Jet Black|Midnight Blue|Silver Fox|Meteorite Silver|Cinnabar Orange|Volcano Red|Viridian Green|Grey Bull|Hardly Green|Hammerhead Silver|Cobalt Blue|Arizona Bronze,Coupe|Roadster|S Coupe
#N/A,Jeep,,Grand Cherokee,4,,,Deep Cherry Red Crystal Pearl|Brilliant Black Crystal Pearl|Bright White|True Blue Pearl|Granite Crystal|Billet Silver,Limited|Summit|SRT
33,Rolls Royce,,Ghost Series II,4,,,Salamanca Blue|Darkest Tungsten|Black Krisch|Midnight Sapphire|Metropolitan Blue|Diamond Black|Madeira Red|Sea Green|Ensign Red|Silver Sand|Jubilee Silver|Smoky Quartz|Silver|English White,6.6|EWB
8,Mercedes-Benz,,E-Class Cabriolet,4,,,Polar White|Fire Opal|Dolomite Brown|Cavansite Blue,E 400 Cabriolet
24,Land Rover,,Discovery,4,,,Baltic Blue|Bali Blue|Santorini Black|Nara Bronze|Marmaris Teal|Indus Silver|Ipanema Sand|Firenze Red|Siberian Silver|Fuji White,SE|HSE
#N/A,Lexus,,LX,4,,,White Pearl Crystal Shine|Mercury Gray Mica|Sonic Titanium|Black|Starlight Black Glass Flake|Sleek Ecru Metallic|Deep Blue Mica,450d
31,Aston Martin,,DB11,4,,,Magnetic Silver|Frosted Glass Blue|Ultramarine Blue|Lightning Silver|Cinnabar Orange|Arden Green,Evolution
22,Volvo,,V40,4,,,Ice White Solid|Bright Silver Metallic|Passion Red Solid|Osmium Grey Metallic|Crystal White Pearl|Onyx Black|Bursting Blue Metallic,D3 Kinetic|D3 R-Design
33,Rolls Royce,,Phantom,4,,,Black|Diamond Black|Anthracite|Jubliee Silver|Silver|Midnight Blue|Darkest Tungsten|Blue Velvet|Metropolitan Blue|Woodland Green|New sable|Madeira Red|Ensign Red|Cornish White|English White|Arctic White,Sedan|EWB
